model,accuracy,f1_toxic,recall_toxic,precision_toxic
logistic_regression,0.9357,0.723599369537183,0.8383134130146083,0.6365011343584572
linear_svm,0.9367,0.7205298013245033,0.8127490039840638,0.6471054718477399
