model,class,precision,recall,f1,support
Logistic Regression,0,0.9818455969226957,0.9172778445886053,0.9484641105239114,354234.0
Logistic Regression,1,0.5023352184915337,0.8311695610633395,0.6262080938317084,35586.0
Linear SVM,0,0.9773929281368592,0.9161006566281046,0.9457547788428191,354234.0
Linear SVM,1,0.48581314878892734,0.7890743550834598,0.6013749384276016,35586.0
BERT,0,0.9679409036517664,0.9750645053834471,0.9714896459585838,354234.0
BERT,1,0.7321628915370387,0.6785252627437757,0.7043243637424342,35586.0
