model,accuracy,precision_toxic,recall_toxic,f1_toxic,inference_time_seconds
Logistic Regression,0.9094171668975425,0.5023352184915337,0.8311695610633395,0.6262080938317084,0.04994269999951939
Linear SVM,0.904504643168642,0.48581314878892734,0.7890743550834598,0.6013749384276016,0.046542500000214204
BERT,0.9479939459237596,0.7321628915370387,0.6785252627437757,0.7043243637424342,4906.8771799999995
